Job_title,Company,Location,Summary,Salary
Grants and Reporting Officer (JPO) - Nigeria,,Maiduguri,"Support the activities for situation analysis, data collection and needs assessments.
Masters / Post-graduate from a recognized University/collage in…",
Monitoring Evaluation & Learning Consultant,TechnoServe,Nigeria,"Bachelor’s degree in social sciences, agricultural sciences or other relevant fields;
Supervise the data collection and management process from primary data…",
Sales Support Executive / Data Analyst,Ascentech,Lagos,"Proven working experience as a data analyst or business data analyst.
Develop and implement data analyses, data collection systems and other strategies that…",
Quality Auditor,,Nigeria,"Ensure 100% data accuracy in all quality function records;
Ensure report data and documentation are complete, timely and accurate at all times;",
Medical Science Liasion,,Nigeria,"Pharmacist, MSc, degree in other life sciences.
Ability to understand and effectively convey emergent scientific and HEOR data.",
Back-End Developer,,Lagos,"Recording data and reporting it to proper parties, such as clients or leadership.
Bachelor’s degree in computer programming, computer science, or a related…",
Grants and Reporting Officer,,Nigeria,"Support the activities for situation analysis, data collection and needs assessments.
Masters / Post-graduate from a recognized University / collage in…",
Web developement intern,ValueGate Consulting,Nigeria,"Pursuing an education in Computer Science.
ValueGate Consulting is a global consulting powerhouse with Engineers, Business analyst, Data analyst and Technical…",
HR Business Partner,,Lagos,"First degree in any discipline, Master's or equivalent degree in Human Resources Management, Organizational Development, Social Sciences, Business…",
Sterling Bank Plc Recruitment for HR Business Partner,Sterling Bank Plc,Lagos,"First degree in any discipline, Master's or equivalent degree in Human Resources Management, Organizational Development, Social Sciences, Business…",
Data Scientist,Ibex Recruitment,Plateau,"Experience with Data Science, AI, and Machine Learning ideal.
Experienced Data Analyst- 5 years +.
Experienced Data Analyst– 3 years +.",
Quality Control Officer Job at Erisco Foods Limited,Erisco Foods Limited,Lagos,"B.Sc, B.Tech in Biochemistry, Industrial Chemistry, Food Science Technology and Science related course.
Erisco Foods Limited is an indigenous food product…",
Quality Control Manager,,Lagos,"Chemical Science or Chemistry / B.Sc.
 Maintain Quality Data Management & MIS systems.
The QC Manager role is a critical role in the core operations of our…",
Quality Engineer,Cummins Inc.,Lagos,"Participates in change management activities by verifying products and processes, developing key measures, and analyzing data for decision support.",
Microbiologist Job at Tomi's Treats Limited,Tomi's Treats Limited,Lagos,"Ensuring that data is recorded accurately in accordance to guidelines.
B.Sc or equivalent in Microbiology or Science related disciplines.",
Cybersecurity Business Head,,Lagos,"Hands-on experience analyzing high volumes of logs, network data (e.g.
Strong IT skills including knowledge of hardware, software, cloud, networks and data…",
Telecommunications Specialist,,Lagos,"BSc degree in Computer Science, Telecommunications or relevant field.
Hands on experience with all telecommunications systems including peripheral equipment (e…",
Associate,EchoVC Partners,Lagos,"Degree in Computer Science or exposure to self taught development coursework a significant plus.
Evaluate opportunities for investment, assess investment risks,…",
"PPO, System Management and Planning",Economic Community of West African States,Abuja,"Master’s degree (or equivalent) in Project Management, Economics, Geo-Information Systems, Information Technology, Environmental Science, Social Science or a…",
Data.FI Nigeria Programmer--Consultant,"Palladium Group, Inc.",Nigeria,"Bachelor's degree in Computer Science or another relevant field.
Extensive experience in system and data migration for mission critical technologies.",
Data Analyst,Gozem,Onitsha,"Providing technical expertise on data storage structures, data mining, and data cleansing.
We are looking to hire a Data Analyst to join our data team.",
Lab Science/ Assistant,Medrona,Lagos,"Document all activities, record results and insert/retrieve data.
Producing accurate and reliable data and interpret results.",
"Data Verifier at TechnoServe - Kebbi, Kano, Niger, Kaduna, T...",careersome,Kebbi,"Perform first-level data cleaning and data verification of all data collected by enumerators.
Bachelor's Degree in Social Science, Economics, Statistics,…",
IT VAS Support,,Lagos,"Minimum of a Bachelor’s degree in Computer Science / Electronic Engineering / Technology related field.
Deploy new products and services on the VAS platform…",
Revenue Protection Analyst,,Abia,"Gathers, organizes and analyzes data as it pertains to case development using analytical, tracking, and data management tools.
To travel to other locations;",
Production Superintendent – Oil & Gas Sector,AKKA TECHNOLOGIES,Lagos,"As an innovation accelerator for its clients, AKKA supports leading industry players in the automotive, telco&media, industrial, aerospace, rail and life…",
Research Associate (Nigeria),Precision Agriculture for Development,Abuja,"Supervise data management activities, clean and analyze data;
PAD is a small, but fast-growing global non-profit that uses tech, data science and behavioral…",
Web Applications Developer,,Lagos,"HND or 1st Degree in Computer Science, Computer Engineering, or Computer Information Systems or related field or a combination of related experience and…",
Junior Backend Developer,Edge Recruiter Nigeria,Ikeja,"Bachelor's degree or higher in Computer Science or related field.
Our Client who is focused on implementing tailored digital transformation solutions that match…",
Backend Developer Job at Gatatransport Limited,Gatatransport Limited,Lagos,"Experience in building data capture or workflow applications with rich user interaction and business logic.
We are recruiting to fill the position of:",
Data Scientist at ​Syrol Technologies,careersome,Lagos,"We are looking for an experienced data science engineer, who has good experience in writing Python ,Pandas, Numpy, and other data science libraries.",
Data Warehouse Engineer,Renmoney,Lagos," Define each data label and create appropriate description and data types (general data profiling).
Data Warehouse Engineer will be essential in driving the…",
"PO, Livestock Development - Pastoralism and Transhumance",Economic Community of West African States,Abuja,"5 years of professional experience in the field of livestock development, zoo-technics, animal and veterinary sciences, territorial development.",
Protection Officer Job at Salient Humanitarian Organization,Salient Humanitarian Organization,Borno,"A University degree in Social Sciences, Development Studies, Guidance and Counseling or relevant fields.
Ensure proper documentation and secure storage of any…",
SERVICE DELIVERY SUPERVISOR,First Notch Recruitment,Lagos,"Minimum of BSc/HND in Computer Science or any related field.
Great educational background, preferably in the fields of computer science or engineering for…",
Program Managing Director,Bridge International Academies,Yaba,"Master’s degree in public policy, education, or related field in social sciences.
You collect data, you analyze it and make decisions with clear justifications.",
Software Quality Assurance Specialist (Senior Associate),PwC,Lagos,"Intelligent process discovery, robotic process automation, BPM, Decision Engines, integration platforms, cloud services, data analytics, intelligent data…",
Project Software Engineer Job at Proxynet Communications,Proxynet Communications,Lagos,"Bachelor’s Degree in Computer Science or equivalent experience.
Collaborate cross-functionally with data scientists, business users, project managers and other…",
